,代號,名稱,股東權益(億),每股淨值(元)
615,8432,東生華,10.8,28.22
616,1229,聯華,564,28.19
617,5425,台半,92.3,28.12
618,2832,台產,102,28.11
619,6751,智聯服務,3.66,28.1
620,8442,威宏-KY,16.8,28.07
621,2851,中再保,166,28.04
622,1736,喬山,93.8,28.02
623,4528,江興鍛,21.4,27.98
624,2449,京元電子,349,27.96
625,3528,安馳,18.5,27.92
626,6642,富致,10.4,27.91
627,9925,新保,118,27.91
628,2345,智邦,156,27.89
629,6577,勁豐,10.7,27.89
630,6671,三能-KY,17,27.85
631,4722,國精化,27.8,27.83
632,8131,福懋科,123,27.82
633,2476,鉅祥,58.2,27.78
634,2027,大成鋼,544,27.72
635,3450,聯鈞,60.6,27.71
636,2754,亞洲藏壽司,12.7,27.7
637,6114,久威,12.1,27.66
638,5508,永信建,60,27.58
639,4930,燦星網,62.2,27.54
640,8403,盛弘,38.8,27.54
641,2640,大車隊,17.6,27.51
642,4760,勤凱,8.33,27.5
643,5245,智晶,11.8,27.48
644,4162,智擎,39.4,27.43
645,4433,興采,24.8,27.43
646,8072,陞泰,22.8,27.4
647,3231,緯創,925,27.39
648,6184,大豐電,40.6,27.39
649,6281,全國電,27.2,27.38
650,2705,六福,52.3,27.32
651,6469,大樹,19.5,27.32
652,5225,東科-KY,16.6,27.27
653,6195,詩肯,13.7,27.25
654,6560,欣普羅,5.63,27.22
655,6486,互動,10.7,27.2
656,4968,立積,24.1,27.19
657,2313,華通,324,27.16
658,8261,富鼎,22.1,27.12
659,1730,花仙子,18.1,27.04
660,6202,盛群,61.6,26.99
661,6153,嘉聯益,150,26.98
662,4741,泓瀚,9.09,26.96
663,8481,政伸,18,26.95
664,1569,濱川,33.5,26.93
665,3147,大綜,10.5,26.93
666,2337,旺宏,498,26.86
667,4543,萬在,15.1,26.86
668,6496,科懋,12.3,26.83
669,1599,宏佳騰,19.6,26.82
670,6227,茂綸,20.4,26.75
671,4506,崇友,47.3,26.74
672,4767,誠泰科技,8.4,26.71
673,2397,友通,55,26.7
674,5604,中連,29.1,26.7
675,2359,所羅門,49.8,26.67
676,6217,中探針,18.5,26.59
677,8109,博大,20.3,26.57
678,4763,材料-KY,16.4,26.56
679,8941,關中,8.9,26.56
680,3169,亞信,16.5,26.55
681,6201,亞弘電,23.7,26.55
682,6668,中揚光,21.4,26.53
683,2535,達欣工,88.3,26.51
684,9917,中保科,120,26.33
685,5403,中菲,20.7,26.27
686,3040,遠見,16.5,26.23
687,6442,光聖,17.4,26.21
688,6829,千附精密,14.1,26.15
689,6136,富爾特,30.4,26.13
690,8112,至上,121,26.11
691,1535,中宇,32.3,26.1
692,1701,中化,77.9,26.09
693,1308,亞聚,155,26.04
694,6667,信紘科,10.4,26.03
695,5607,遠雄港,73.8,26.01
696,4128,中天,138,25.95
697,4581,光隆精密-KY,8.8,25.94
698,6143,振曜,23.8,25.93
699,2013,中鋼構,51.8,25.92
700,2607,榮運,277,25.9
701,4735,豪展,9.52,25.89
702,2488,漢平,20.9,25.88
